,cat1,cat2,cat3,brand_name
93252,WOM,Women's Accessories,Other,vineyard vines
93297,VIN,Bags and Purses,Handbag,Gucci
93298,VIN,Supplies,Finding,Others
93439,WOM,Tops & Blouses,Tunic,Victoria's Secret
93550,WOM,Sweaters,"Turtleneck, Mock",Vintage
93554,WOM,Women's Accessories,Watches,Tiffany & Co.
93652,VIN,Bags and Purses,Handbag,Juicy Couture
93688,WOM,Shoes,Slippers,Kate Spade
93741,MEN,Coats & Jackets,Vest,Carhartt
93753,WOM,Sweaters,"Turtleneck, Mock",Athleta
93827,VIN,Bags and Purses,Handbag,Frye
93880,SPO,Footwear,Women,Others
94183,MEN,Sweats & Hoodies,Hoodie,Reebok
94241,WOM,Sweaters,Collared,Lilly Pulitzer
94264,VIN,Collectibles,Glass,Vintage
94272,BEA,Tools & Accessories,Bags & Cases,Kylie Cosmetics
94323,SPO,Outdoors,Water Sports,Adidas
94347,MEN,Shoes,Fashion Sneakers,Louis Vuitton
94365,VIN,Accessories,Keychain,Hasbro
94389,ELE,Video Games & Consoles,Replacement Parts & Tools,Xbox
94475,WOM,Athletic Apparel,Jackets,L.L. Bean
94504,WOM,Shoes,Athletic,A|X Armani Exchange
94656,WOM,Shoes,Pumps,ASOS
94748,KID,Diapering,Disposable Diapers,All
94832,VIN,Bags and Purses,Other,Others
95079,WOM,Jeans,Other,Free People
95143,WOM,Shoes,Flats,VANS
95229,WOM,Women's Accessories,Hats,Oakley
95261,VIN,Accessories,Keychain,Brighton
95319,VIN,Jewelry,Pendant,Vintage
95361,WOM,Athletic Apparel,Sports Bras,The North Face
95388,WOM,Women's Accessories,Sunglasses,kate spade new york
95399,WOM,Pants,"Capris, Cropped",Juicy Couture
95573,WOM,Athletic Apparel,Shirts & Tops,Vintage
95609,WOM,Shoes,Loafers & Slip-Ons,Free People
95707,WOM,Jeans,Other,True Religion Brand Jeans
95737,WOM,Athletic Apparel,"Pants, Tights, Leggings",Nasty Gal
95954,WOM,Shoes,Slippers,Michael Kors
96001,MEN,Coats & Jackets,Windbreaker,Reebok
96085,MEN,Tops,Other,Carhartt
96089,WOM,Sweaters,Scoop Neck,Victoria's Secret
96180,BEA,Skin Care,Sets & Kits,Victoria's Secret
96325,HAN,Pets,Toy,Others
96438,WOM,Pants,"Capris, Cropped",Lilly Pulitzer
96468,WOM,Women's Handbags,Messenger & Crossbody,Brighton
96568,MEN,Athletic Apparel,Jackets,Versace
96601,KID,Pregnancy & Maternity,Maternity Pillows,Others
96719,WOM,Coats & Jackets,Other,Bebe
96777,WOM,Women's Accessories,Watches,Louis Vuitton
96796,MEN,Sweats & Hoodies,Hoodie,Majestic
96867,HAN,Weddings,Invitations,Others
96886,OTH,Musical instruments,Live Sound & Stage,Others
96895,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",Jordan
96901,BEA,Makeup,Makeup Remover,SeneGence
96977,WOM,Athletic Apparel,Tracksuits & Sweats,adidas Originals
97025,WOM,Women's Handbags,Messenger & Crossbody,Free People
97099,MEN,Men's Accessories,Belts,Steve Madden
97127,WOM,Tops & Blouses,T-Shirts,Michael Kors
97168,HAN,Others,Graphic Design,Others
97336,WOM,Women's Accessories,Other,Versace
97364,WOM,Women's Handbags,Totes & Shoppers,Versace
97376,WOM,Skirts,A-Line,PINK
97407,VIN,Serving,Cream and Sugar Set,Others
97425,VIN,Clothing,Other,Others
97596,VIN,Serving,Dinnerware Set,Others
97716,MEN,Men's Accessories,Other,The North Face
97825,WOM,Skirts,Mini,patagonia
97854,WOM,Athletic Apparel,Shorts,Bebe
97871,WOM,Dresses,Full-Length,ZARA
98095,WOM,Athletic Apparel,Other,Lilly Pulitzer
98185,KID,Toys,Arts & Crafts,Star Wars
98223,VIN,Toy,Doll,Spin Master
98408,OTH,Other,Other,Yeti
98512,MEN,Shoes,Oxfords,Steve Madden
98741,WOM,Suits & Blazers,Blazer,Bebe
98764,WOM,Women's Handbags,Totes & Shoppers,Nike
98777,WOM,Athletic Apparel,Tracksuits & Sweats,BCBGMAXAZRIA
98814,BEA,Hair Care,Conditioners,Lush
98905,HOM,Home Décor,Draft Stoppers,Others
98909,WOM,Athletic Apparel,Socks,Bebe
99031,ELE,Cell Phones & Accessories,Batteries,LG
99121,MEN,Athletic Apparel,Jackets,PUMA
99142,WOM,Jewelry,Bracelets,Victoria's Secret
99207,KID,Boys (4+),Shoes,UGG Australia
99220,WOM,Dresses,"Above Knee, Mini",Burberry
99422,WOM,Women's Accessories,Hair Accessories,vineyard vines
99442,VIN,Trading Cards,Comic,Others
99544,VIN,Clothing,Sweater,VANS
99629,WOM,Women's Handbags,Shoulder Bag,UGG Australia
99729,BEA,Skin Care,Eyes,Kylie Cosmetics
99763,MEN,Coats & Jackets,Puffer,Jordan
99938,MEN,Shoes,Fashion Sneakers,New Balance
100055,WOM,Tops & Blouses,Other,Kate Spade
100126,WOM,Jewelry,Earrings,Free People
100179,MEN,Shoes,Sandals,ALDO
100191,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",Fuji
100375,BEA,Skin Care,Body,Gucci
100694,WOM,Skirts,"Straight, Pencil",BCBGMAXAZRIA
100722,WOM,Coats & Jackets,Wool,ZARA
100730,WOM,Women's Accessories,Wallets,Vintage
100810,WOM,Jewelry,Necklaces,ASOS
100872,WOM,Jeans,Overalls,Free People
100922,MEN,Men's Accessories,Wallets,Timberland
101068,MEN,Athletic Apparel,Shorts,patagonia
101160,BEA,Fragrance,Sets,MARC JACOBS
101230,WOM,Women's Accessories,Scarves & Wraps,Steve Madden
101264,WOM,Women's Handbags,Messenger & Crossbody,Chanel
101425,HAN,Crochet,Scarf,Others
101544,ELE,Cameras & Photography,Camcorders,Samsung
101637,WOM,Coats & Jackets,Other,True Religion Brand Jeans
101765,WOM,Underwear,Other,Nasty Gal
101778,WOM,Shoes,Flats,Burberry
101784,KID,Toys,Dress Up & Pretend Play,American Boy & Girl
101810,KID,Bathing & Skin Care,Other,Others
101822,WOM,Sweaters,Crewneck,adidas Originals
101823,ELE,Cameras & Photography,Film Photography,Nikon
101974,WOM,Swimwear,Beach Accessories,PINK
101982,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",True Religion Brand Jeans
102037,KID,Boys 0-24 Mos,One-Pieces,The North Face
102099,WOM,Pants,"Capris, Cropped",The North Face
102112,BEA,Makeup,Brushes & Applicators,Chanel
102166,WOM,Women's Accessories,Watches,kate spade new york
102184,WOM,Tops & Blouses,"Tank, Cami",Converse
102261,VIN,Book,Nonfiction,Others
102282,BEA,Skin Care,Sun,Younique
102372,MEN,Athletic Apparel,Pants,Jordan
102709,WOM,Other,Other,Rebecca Minkoff
102729,ELE,"TV, Audio & Surveillance",Home Speakers & Subwoofers,Beats
102731,WOM,Tops & Blouses,Halter,Vintage
102753,WOM,Women's Handbags,Shoulder Bag,lululemon athletica
102867,KID,Health & Baby Care,Humidifiers & Vaporizers,Star Wars
102930,MEN,Sweaters,Crewneck,patagonia
103037,WOM,Dresses,"Above Knee, Mini",Athleta
103134,MEN,Swimwear,Board Shorts,Oakley
103334,WOM,Skirts,Pleated,Customized & Personalized
103395,SPO,Exercise,Other,Others
103433,KID,Girls (4+),Shoes,Air Jordan
103529,VIN,Bags and Purses,Purse,Betsey Johnson
103577,MEN,Coats & Jackets,Military,Vintage
103706,WOM,Dresses,"Above Knee, Mini",Adidas
104079,WOM,Dresses,Knee-Length,VANS
104537,WOM,Sweaters,V-Neck,Burberry
104552,ELE,Video Games & Consoles,Accessories,Samsung
104760,ELE,Computers & Tablets,iPad,Fuji
104892,WOM,Women's Accessories,Wallets,Prada
104959,VIN,Clothing,Tshirt,Harley-Davidson
105042,HAN,Glass,Home Decor,Others
105106,WOM,Women's Handbags,Hobo,Rebecca Minkoff
105240,NOI,no_info,no_info,Lululemon
105249,KID,Gear,Backpacks & Carriers,American Boy & Girl
105388,WOM,Sweaters,Other,Wildfox Couture
105389,WOM,Women's Accessories,Wallets,Carhartt
105398,WOM,Athletic Apparel,Shorts,TopShop
105425,WOM,Shoes,Other,Chaco
105489,KID,Toys,Sports & Outdoor Play,Hasbro
105615,WOM,Jeans,Straight Leg,Lilly Pulitzer
105637,WOM,Women's Accessories,Belts,Steve Madden
105640,VIN,Accessories,Gloves,Louis Vuitton
105654,MEN,Suits,Tuxedo,Others
105665,WOM,Swimwear,Two-Piece,Majestic
105745,WOM,Jeans,Boyfriend,ZARA
105769,HOM,Artwork,"Lithographs, Etchings & Woodcuts",Others
105879,WOM,Athletic Apparel,Jackets,Athleta
105999,WOM,Shoes,Loafers & Slip-Ons,Dr. Martens
106023,ELE,"Car Audio, Video & GPS",Car Subwoofers,Others
106167,MEN,Men's Accessories,Hats,ALDO
106210,WOM,Pants,Casual Pants,Independent
106303,MEN,Athletic Apparel,Jackets,adidas Originals
106370,WOM,Tops & Blouses,Blouse,Louis Vuitton
106461,WOM,Women's Accessories,Watches,A|X Armani Exchange
106527,ELE,"TV, Audio & Surveillance",Portable Audio & Accessories,AmazonBasics
106544,WOM,Shoes,Mules & Clogs,Harley-Davidson
106556,NOI,no_info,no_info,Nasty Gal
106684,KID,Boys 2T-5T,Shoes,The North Face
106745,KID,Gear,Activity Centers & Entertainers,Others
106841,SPO,Apparel,Girls,Adidas
106943,WOM,Sweaters,Other,The North Face
106952,MEN,Sweats & Hoodies,Hoodie,Customized & Personalized
106991,WOM,Women's Handbags,Backpack Style,ZARA
107127,WOM,Women's Handbags,Cosmetic Bags,Michael Kors
107163,VIN,Serving,Pitcher,Pyrex
107251,WOM,Shoes,Flats,Victoria's Secret
107292,MEN,Shoes,Work & Safety,Others
107303,WOM,Dresses,"Above Knee, Mini",VANS
107381,SPO,Apparel,Men,Nike
107496,HOM,Home Appliances,"Wine, Beer & Beverage Coolers",Yeti
107519,WOM,Women's Accessories,Sunglasses,ZARA
107533,KID,Toys,Stuffed Animals & Plush,American Girl ®
107597,ELE,Cell Phones & Accessories,Other,Samsung
107633,MEN,Men's Accessories,Other,Harley-Davidson
107665,KID,Toys,Dress Up & Pretend Play,DC Comics
107746,WOM,Women's Accessories,Hair Accessories,Harley-Davidson
107808,BEA,Fragrance,Men,Estee Lauder
107890,KID,Boys 0-24 Mos,Shoes,PUMA
107984,MEN,Men's Accessories,Sunglasses,vineyard vines
108142,HAN,Accessories,Lanyard,Nike
108145,VIN,Trading Cards,Animation,Nintendo
108229,WOM,Sweaters,Crewneck,Stussy
108359,WOM,Women's Accessories,Other,Vintage
108400,WOM,Tops & Blouses,Other,MARC BY MARC JACOBS
108441,WOM,Tops & Blouses,Button Down Shirt,vineyard vines
108454,NOI,no_info,no_info,WWE
108608,WOM,Coats & Jackets,Motorcycle,Vintage
108685,WOM,Sweaters,Henley,Others
108718,VIN,Supplies,Button,Others
108786,WOM,Underwear,Bras,Independent
109073,BEA,Makeup,Brushes & Applicators,Tarte
109089,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",AmazonBasics
109143,VIN,Clothing,Shawl,Others
109177,MEN,Shoes,Athletic,L.L. Bean
109203,ELE,Video Games & Consoles,Games,Spin Master
109289,KID,Toys,Electronics for Kids,Nintendo
109324,HAN,Children,Jewelry,Others
109368,WOM,Coats & Jackets,Other,Kate Spade
109441,WOM,Athletic Apparel,Jackets,TopShop
109559,WOM,Dresses,Knee-Length,patagonia
109768,WOM,Tops & Blouses,Other,TopShop
109874,VIN,Clothing,Sweater,Burberry
110010,WOM,Tops & Blouses,Blouse,Juicy Couture
110022,MEN,Pants,Other,The North Face
110049,WOM,Coats & Jackets,Windbreaker,Stussy
110096,WOM,Tops & Blouses,Tunic,ZARA
110153,HOM,Bedding,Bedspreads & Coverlets,Others
110227,WOM,Jewelry,Necklaces,Rebecca Minkoff
110266,HAN,Geekery,Housewares,Others
110447,WOM,Jeans,Boot Cut,Ariat
110700,WOM,Women's Accessories,Hair Accessories,Star Wars
110817,MEN,Shoes,Boots,VANS
110890,ELE,Cameras & Photography,Tripods & Supports,Canon
111081,WOM,Swimwear,Two-Piece,Free People
111098,WOM,Women's Handbags,Backpack Style,Versace
111107,WOM,Women's Handbags,Shoulder Bag,Vintage
111162,SPO,Outdoors,Snowboard,The North Face
111320,WOM,Shoes,Mules & Clogs,Steve Madden
111340,WOM,Women's Handbags,Totes & Shoppers,Steve Madden
111547,HAN,Geekery,Gadget,Others
111621,MEN,Coats & Jackets,Rainwear,Nike
111732,HOM,Artwork,Posters & Prints,Anthropologie
111883,MEN,Tops,Button-Front,vineyard vines
111919,BEA,Makeup,Brushes & Applicators,Kat Von D
112055,WOM,Women's Accessories,Belts,Prada
112130,MEN,Men's Accessories,Wallets,Star Wars
112287,VIN,Serving,Bowl,Pyrex
112342,WOM,Pants,Other,Nike
112362,WOM,Swimwear,Two-Piece,Athleta
112398,KID,Girls (4+),Shoes,The North Face
112414,WOM,Women's Accessories,Sunglasses,Lilly Pulitzer
112446,OTH,Automotive,"Paint, Body & Trim",Others
112491,WOM,Women's Handbags,Messenger & Crossbody,ASOS
112511,VIN,Collectibles,Other,Vintage
112544,NOI,no_info,no_info,The North Face
112579,WOM,Coats & Jackets,Trench,Michael Kors
112823,MEN,Coats & Jackets,Wool,Others
112893,MEN,Other,Other,Vintage
112907,WOM,Athletic Apparel,Sports Bras,New Balance
112996,WOM,Coats & Jackets,Puffer,A|X Armani Exchange
113013,WOM,Jeans,Straight Leg,Vintage
113044,WOM,Tops & Blouses,Button Down Shirt,Madewell
113288,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",adidas Originals
113331,MEN,Coats & Jackets,Varsity,Adidas
113701,WOM,Skirts,Other,TopShop
114110,WOM,Jeans,Overalls,Madewell
114138,MEN,Men's Accessories,Ties,Vintage
114276,WOM,Underwear,Panties,Versace
114324,MEN,Pants,Carpenter,Carhartt
114390,WOM,Women's Accessories,Hair Accessories,Coach
114477,HAN,Weddings,Guest Books,Others
114520,WOM,Coats & Jackets,Jean Jacket,Silver Jeans Co.
114647,VIN,Electronics,Camera,Nikon
114752,MEN,Shoes,Sandals,Customized & Personalized
115012,KID,Boys (4+),Bottoms,VANS
115051,WOM,Women's Handbags,Other,Betsey Johnson
115253,WOM,Tops & Blouses,Polo Shirt,Harley-Davidson
115332,MEN,Tops,T-shirts,Buckle
115440,WOM,Tops & Blouses,Blouse,A|X Armani Exchange
115484,VIN,Paper Ephemera,Game,Others
115509,MEN,Shoes,Outdoor,Cole Haan
115514,BEA,Makeup,Makeup Sets,Huda Beauty
115550,WOM,Shoes,Pumps,Burberry
115713,KID,Pregnancy & Maternity,Other,Medela
115728,ELE,"TV, Audio & Surveillance",Home Speakers & Subwoofers,Apple
115918,WOM,Sweaters,Crewneck,Michael Kors
115952,MEN,Men's Accessories,Wallets,Stussy
115974,WOM,Shoes,Sandals,Vera Bradley
116043,WOM,Shoes,Flats,Converse
116192,MEN,Coats & Jackets,Windbreaker,The North Face
116231,VIN,Housewares,Cup,Pyrex
116250,HAN,Woodworking,Toys,Others
116396,HAN,Glass,Stained Glass,Others
116514,WOM,Women's Handbags,Hobo,MARC BY MARC JACOBS
116925,MEN,Men's Accessories,Wallets,Harley-Davidson
117196,MEN,Athletic Apparel,Pants,Oakley
117201,WOM,Shoes,Other,Cole Haan
117272,VIN,Collectibles,Doll,Vintage
117344,WOM,Tops & Blouses,Button Down Shirt,Vintage
117479,SPO,Fan Shop,MLB,Nike
117496,WOM,Women's Accessories,Belts,Coach
117550,WOM,Jewelry,Earrings,James Avery
117737,MEN,Men's Accessories,Watches,Coach
117977,WOM,Coats & Jackets,Vest,Nike
118041,WOM,Women's Handbags,Cosmetic Bags,Tory Burch
118092,WOM,Tops & Blouses,Polo Shirt,Lilly Pulitzer
118214,VIN,Toy,Block,Star Wars
118346,WOM,Sweaters,V-Neck,A|X Armani Exchange
118355,KID,Toys,Novelty & Gag Toys,Spin Master
118368,MEN,Shoes,Fashion Sneakers,ASICS
118374,HAN,Weddings,Bouquets,Others
118375,MEN,Men's Accessories,Other,Coach
118478,WOM,Shoes,Loafers & Slip-Ons,TopShop
118563,WOM,Sweaters,Hooded,Michael Kors
118945,KID,Boys (4+),Top & T-shirts,The North Face
119009,WOM,Women's Accessories,Belts,Vintage
119106,VIN,Housewares,Cup,Rae Dunn
119116,SPO,Exercise,Fitness accessories,Yeti
119213,WOM,Pants,Linen,Juicy Couture
119222,WOM,Coats & Jackets,Military,Juicy Couture
119230,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",PUMA
119254,WOM,Women's Handbags,Totes & Shoppers,Rock Revival
119409,WOM,Sweaters,V-Neck,Vintage
119552,KID,Toys,Stuffed Animals & Plush,Sony
119732,MEN,Shoes,Outdoor,Dr. Martens
119774,WOM,Other,Other,Gucci
119809,WOM,Athletic Apparel,Shorts,Michael Kors
119814,HOM,Home Décor,Mirrors,Others
119988,WOM,Shoes,Flats,Birkenstock
120103,MEN,Coats & Jackets,Windbreaker,Stussy
120154,ELE,Computers & Tablets,Other,Samsung
120166,MEN,Shoes,Athletic,Bape
120217,OTH,Automotive,Replacement Parts,Others
120218,WOM,Women's Accessories,Other,Dooney & Bourke
120236,WOM,Coats & Jackets,Jean Jacket,Michael Kors
120289,WOM,Women's Accessories,Other,Customized & Personalized
120317,WOM,Shoes,Flats,Sperry
120406,VIN,Clothing,Shorts,Free People
120486,MEN,Men's Accessories,Other,Tiffany & Co.
120568,WOM,Women's Handbags,Backpack Style,ASOS
120622,WOM,Tops & Blouses,"Tank, Cami",Kate Spade
120626,KID,Boys 0-24 Mos,Shoes,Jordans
120880,WOM,Underwear,Other,Free People
120956,WOM,Tops & Blouses,Tunic,Lilly Pulitzer
120979,WOM,Coats & Jackets,Vest,ZARA
121139,MEN,Shorts,Denim,Others
121262,WOM,Shoes,Sandals,Bebe
121282,SPO,Golf,Golf Bags,Others
121299,WOM,Sweaters,"Vest, Sleeveless",L.L. Bean
121376,HOM,Kitchen & Dining,Wine Accessories,Lilly Pulitzer
121807,MEN,Athletic Apparel,Socks,adidas Originals
121824,MEN,Men's Accessories,Belts,Coach
122246,BEA,Fragrance,Women,Prada
122281,HAN,Music,Tape,Others
122355,WOM,Tops & Blouses,"Tank, Cami",Wildfox Couture
122384,WOM,Tops & Blouses,Button Down Shirt,Burberry
122399,WOM,Athletic Apparel,Shirts & Tops,TopShop
122453,VIN,Clothing,Sweater,Michael Kors
122561,MEN,Sweats & Hoodies,Hoodie,Air Jordan
122654,BEA,Makeup,Nails,Christian Dior
122664,WOM,Women's Accessories,Belts,Bebe
122700,MEN,Jeans,"Classic, Straight Leg",Big Star
122776,WOM,Swimwear,One-Piece,Vince Camuto
122783,MEN,Men's Accessories,Hats,Stussy
122915,WOM,Women's Handbags,Messenger & Crossbody,Christian Dior
123149,WOM,Tops & Blouses,Tunic,Athleta
123251,WOM,Women's Accessories,Belts,Fossil
123371,WOM,Swimwear,Two-Piece,Juicy Couture
123406,MEN,Tops,Dress Shirts,patagonia
123409,VIN,Clothing,Dress,Independent
123499,WOM,Women's Accessories,Scarves & Wraps,Chanel
123547,MEN,Pants,Other,Lululemon
123621,KID,Feeding,Storage & Containers,Enfamil
123815,WOM,Sweaters,Hooded,BCBGMAXAZRIA
123849,WOM,Women's Accessories,Other,Juicy Couture
123875,MEN,Coats & Jackets,Windbreaker,adidas Originals
124019,WOM,Sweaters,Scoop Neck,Nasty Gal
124064,KID,Toys,Dress Up & Pretend Play,WWE
124246,WOM,Suits & Blazers,Pant Suit,ZARA
124248,WOM,Pants,Casual Pants,VANS
124280,WOM,Tops & Blouses,Other,vineyard vines
124419,NOI,no_info,no_info,Ray-Ban
124605,BEA,Makeup,Nails,Victoria's Secret
124660,MEN,Athletic Apparel,Shorts,The North Face
124748,WOM,Women's Handbags,Shoulder Bag,The North Face
124927,WOM,Shoes,Sandals,Prada
125100,BEA,Skin Care,Face,Kat Von D
125239,MEN,Men's Accessories,Ties,Nike
125360,HOM,Storage & Organization,Storage Cabinets,Others
125413,WOM,Tops & Blouses,T-Shirts,Carhartt
125426,WOM,Women's Handbags,Totes & Shoppers,Cole Haan
125474,WOM,Shoes,Fashion Sneakers,Cole Haan
126129,WOM,Women's Accessories,Watches,Anthropologie
126307,WOM,Shoes,Slippers,Bebe
126422,MEN,Athletic Apparel,Jackets,Gucci
126428,WOM,Sweaters,V-Neck,Bebe
126540,WOM,Women's Handbags,Other,Harley-Davidson
126608,WOM,Athletic Apparel,Shorts,adidas Originals
126619,WOM,Underwear,G-Strings & Thongs,Nordstrom
126981,WOM,Jeans,"Capri, Cropped",Anthropologie
127152,WOM,Shoes,Sandals,TopShop
127250,WOM,Sweaters,V-Neck,Juicy Couture
127266,WOM,Tops & Blouses,Other,Michael Kors
127327,VIN,Antique,Furniture,Others
127366,VIN,Accessories,Keychain,tokidoki
127594,MEN,Sweaters,Cardigan,A|X Armani Exchange
127616,HAN,Dolls and Miniatures,Art Doll,Others
127883,WOM,Jeans,Other,TopShop
127968,WOM,Jeans,"Slim, Skinny",Nordstrom
128158,WOM,Tops & Blouses,Other,Adidas
128177,WOM,Athletic Apparel,Tracksuits & Sweats,Wildfox Couture
128198,MEN,Athletic Apparel,Socks,PUMA
128244,WOM,Women's Handbags,Totes & Shoppers,Madewell
128304,SPO,Footwear,Women,Nike
128308,WOM,Skirts,Bubble,PINK
128536,WOM,Coats & Jackets,Jean Jacket,Free People
128596,WOM,Sweaters,Crewneck,Chanel
128646,MEN,Sweaters,Other,Bape
128722,WOM,Pants,Dress Pants,Anthropologie
129140,MEN,Tops,T-shirts,adidas Originals
129196,ELE,Computers & Tablets,iPad,HP
129342,WOM,Skirts,Mini,Madewell
129525,MEN,Coats & Jackets,Flight,ZARA
129591,WOM,Tops & Blouses,T-Shirts,Anthropologie
129646,WOM,Swimwear,One-Piece,Adidas
129837,VIN,Electronics,Radio,Sony
129881,WOM,Jewelry,Bracelets,ALDO
129941,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",Adidas
129956,HOM,Storage & Organization,Laundry Storage & Organization,PINK
129979,WOM,Sweaters,Cardigan,Madewell
130094,HOM,Home Décor,Other,Rae Dunn
130157,SPO,Golf,Golf Apparel,New Balance
130270,WOM,Sweaters,Hooded,patagonia
130287,ELE,Video Games & Consoles,Consoles,Apple
130345,MEN,Tops,"Polo, Rugby",Reebok
130478,WOM,Other,Other,Burberry
130608,WOM,Women's Handbags,Messenger & Crossbody,ZARA
130735,WOM,Tops & Blouses,"Tank, Cami",The North Face
130849,WOM,Women's Handbags,Backpack Style,Louis Vuitton
131037,WOM,Women's Accessories,Watches,Tory Burch
131038,MEN,Athletic Apparel,Tracksuits & Sweats,Air Jordan
131140,WOM,Dresses,Full-Length,Michael Kors
131212,VIN,Clothing,Baby,Juicy Couture
131275,MEN,Tops,T-shirts,Lululemon
131370,MEN,Athletic Apparel,Pants,patagonia
131451,WOM,Coats & Jackets,Peacoat,patagonia
132122,KID,Toys,Baby & Toddler Toys,Spin Master
132228,HOM,Cleaning Supplies,Brushes,Others
132239,WOM,Sweaters,Hooded,Oakley
132371,HAN,Dolls and Miniatures,Child Friendly,Others
132463,WOM,Women's Handbags,Cosmetic Bags,Dooney & Bourke
132572,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",PINK
132829,MEN,Coats & Jackets,Varsity,Stussy
132843,WOM,Sweaters,Hooded,Reebok
133102,WOM,Sweaters,V-Neck,Madewell
133175,HAN,Books and Zines,Book,Others
133253,WOM,Skirts,A-Line,Free People
133350,HAN,Weddings,Other,Others
133360,WOM,Dresses,Other,Lilly Pulitzer
133490,BEA,Fragrance,Women,Burberry
133517,MEN,Tops,Other,Converse
133581,WOM,Women's Accessories,Sunglasses,Steve Madden
133632,MEN,Sweats & Hoodies,Hoodie,DC Comics
133657,ELE,"Car Audio, Video & GPS",Car Video,Sony
133666,MEN,Swimwear,Swim Trunks,Nike
133802,KID,Girls (4+),Accessories,The North Face
133843,WOM,Coats & Jackets,Trench,Burberry
134003,BEA,Makeup,Other,Victoria's Secret
134051,HOM,Kitchen & Dining,Dining & Entertaining,Kate Spade
134261,HAN,Geekery,Jewelry,Others
134285,ELE,Cameras & Photography,Other,Others
134428,WOM,Women's Accessories,Scarves & Wraps,Tory Burch
134452,OTH,Musical instruments,Brass Instruments,Others
134511,WOM,Other,Other,UGG Australia
134564,WOM,Other,Other,The North Face
134730,WOM,Swimwear,Two-Piece,MARC BY MARC JACOBS
134927,NOI,no_info,no_info,Burberry
135023,BEA,Hair Care,Hair & Scalp Treatments,Victoria's Secret
135166,WOM,Skirts,Mini,BCBGMAXAZRIA
135199,ELE,Cell Phones & Accessories,Cell Phones & Smartphones,Beats
135278,MEN,Men's Accessories,Other,A|X Armani Exchange
135290,KID,Girls (4+),Shoes,Michael Kors
135404,WOM,Coats & Jackets,Trench,ZARA
135428,SPO,Apparel,Boys,ASICS
135455,KID,Boys 2T-5T,Shoes,UGG Australia
135613,WOM,Athletic Apparel,Socks,Gymshark
135694,OTH,Daily & Travel items,Baby & Child Care,Medela
135777,ELE,"Car Audio, Video & GPS",Car Video,Others
135936,WOM,Women's Accessories,Wallets,Nordstrom
135964,MEN,Athletic Apparel,Shorts,lululemon athletica
135983,MEN,Sweaters,Crewneck,Stussy
136185,MEN,Sweaters,Full Zip,Air Jordan
136231,MEN,Tops,Dress Shirts,Reebok
136368,MEN,Men's Accessories,Wallets,Fossil
136387,KID,Safety,Safety Caps,Others
136671,WOM,Shoes,Pumps,Kate Spade
136941,WOM,Shoes,Pumps,BCBGMAXAZRIA
136950,MEN,Tops,T-shirts,Versace
137055,MEN,Pants,Casual Pants,Lululemon
137222,WOM,Maternity,Other,ASOS
137232,WOM,Swimwear,Cover-Ups,Nordstrom
137283,MEN,Pants,Casual Pants,Adidas
137296,WOM,Women's Handbags,Totes & Shoppers,Prada
137340,MEN,Tops,Button-Front,Timberland
137414,MEN,Men's Accessories,Belts,A|X Armani Exchange
137451,SPO,Apparel,Accessories,Fitbit
137717,WOM,Athletic Apparel,"Pants, Tights, Leggings",Star Wars
137880,WOM,Shoes,Sandals,Dr. Martens
137910,WOM,Shoes,Pumps,Prada
138037,WOM,Women's Handbags,Totes & Shoppers,MARC BY MARC JACOBS
138056,WOM,Coats & Jackets,Jean Jacket,Bebe
138093,VIN,Collectibles,Doll,Victoria's Secret
138098,KID,Feeding,Bottle-Feeding,All
138104,WOM,Dresses,Mid-Calf,ASOS
138261,VIN,Jewelry,Bracelet,PANDORA
138271,MEN,Sweaters,Turtleneck,Others
138567,WOM,Shoes,Other,Coach
139056,WOM,Sweaters,Cardigan,Customized & Personalized
139159,HOM,Home Décor,Fireplaces & Accessories,Others
139303,WOM,Jeans,Other,ZARA
139741,WOM,Dresses,Knee-Length,Fossil
139957,MEN,Shoes,Boots,Gucci
140070,WOM,Sweaters,Scoop Neck,Coach
140146,OTH,Office supplies,Presentation,Others
140198,WOM,Other,Other,vineyard vines
140225,KID,Nursery,Furniture,Others
140287,SPO,Apparel,Accessories,Adidas
140437,WOM,Shoes,Outdoor,Chaco
140549,WOM,Sweaters,V-Neck,ZARA
140767,ELE,Video Games & Consoles,Replacement Parts & Tools,Microsoft
140832,WOM,Women's Accessories,Other,Kendra Scott
140924,HOM,Storage & Organization,Kitchen Storage & Organization,Others
140934,VIN,Accessories,Other,WWE
140943,HAN,Accessories,Pin,Supreme
140964,KID,Boys (4+),Top & T-shirts,Jordan
141046,WOM,Women's Handbags,Totes & Shoppers,Bebe
141051,WOM,Coats & Jackets,Fleece Jacket,Harley-Davidson
141057,WOM,Women's Accessories,Other,Cole Haan
141110,MEN,Sweats & Hoodies,Hoodie,Nintendo
141253,WOM,Women's Accessories,Scarves & Wraps,A|X Armani Exchange
141294,MEN,Jeans,"Classic, Straight Leg",7 For All Mankind®
